iter	Passed	Remaining
0	1	121
1	2	102
2	2	96
3	3	87
4	4	85
5	5	82
6	6	81
7	6	80
8	7	79
9	8	78
10	9	78
11	10	78
12	11	76
13	12	75
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	24	62
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	33	53
38	33	52
39	34	52
40	35	51
41	36	49
42	37	49
43	38	49
44	40	49
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	85	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
