iter	Passed	Remaining
0	24	24613
1	25	12819
2	26	8731
3	26	6697
4	27	5482
5	28	4652
6	28	4072
7	29	3651
8	30	3335
9	30	3062
10	31	2844
11	32	2655
12	32	2496
13	33	2359
14	34	2244
15	35	2163
16	36	2087
17	36	2003
18	37	1928
19	38	1864
20	38	1801
21	39	1745
22	39	1695
23	40	1648
24	41	1607
25	41	1564
26	42	1525
27	42	1489
28	43	1455
29	44	1425
30	44	1399
31	45	1371
32	45	1347
33	46	1324
34	48	1337
35	49	1315
36	49	1295
37	50	1273
38	51	1270
39	52	1253
40	52	1236
41	53	1224
42	54	1207
43	54	1193
44	55	1177
45	56	1162
46	56	1147
47	57	1133
48	57	1119
49	58	1106
50	58	1093
51	59	1091
52	60	1080
53	61	1070
54	61	1063
55	62	1055
56	63	1045
57	63	1036
58	64	1026
59	64	1016
60	65	1008
61	66	999
62	66	991
63	67	989
64	68	984
65	69	977
66	69	970
67	70	963
68	70	955
69	71	948
70	71	940
71	72	933
72	72	926
73	73	924
74	74	921
75	75	917
76	76	911
77	76	906
78	77	900
79	77	895
80	78	890
81	78	884
82	79	876
83	80	877
84	81	872
85	81	866
86	82	861
87	82	856
88	83	851
89	83	847
90	84	842
91	84	837
92	85	832
93	85	828
94	86	825
95	87	821
96	87	817
97	88	813
98	88	809
99	89	806
100	90	806
101	91	807
102	92	804
103	93	801
104	93	797
105	94	795
106	94	792
107	95	788
108	96	784
109	96	781
110	97	778
111	97	774
112	98	771
113	98	767
114	99	764
115	99	761
116	100	756
117	100	754
118	101	750
119	101	747
120	102	744
121	102	740
122	103	737
123	104	735
124	104	733
125	105	731
126	106	729
127	106	726
128	107	724
129	107	721
130	108	721
131	109	719
132	109	716
133	110	713
134	110	711
135	111	708
136	112	705
137	112	703
138	113	700
139	113	698
140	114	695
141	114	692
142	115	689
143	115	687
144	116	684
145	116	682
146	117	679
147	117	677
148	118	675
149	118	674
150	119	672
151	120	670
152	120	668
153	121	666
154	121	663
155	122	661
156	122	659
157	123	657
158	123	655
159	124	653
160	124	650
161	125	648
162	125	646
163	126	644
164	127	642
165	127	640
166	128	638
167	128	636
168	129	635
169	129	633
170	130	632
171	131	630
172	131	628
173	132	627
174	132	625
175	133	623
176	133	622
177	134	621
178	135	619
179	135	617
180	136	616
181	136	614
182	137	613
183	137	611
184	138	609
185	138	607
186	139	606
187	139	604
188	140	602
189	141	601
190	141	599
191	142	597
192	142	596
193	143	594
194	143	593
195	144	591
196	144	590
197	145	588
198	145	586
199	146	585
200	146	583
201	147	582
202	148	581
203	148	579
204	149	578
205	149	576
206	150	575
207	150	574
208	151	573
209	151	571
210	152	570
211	153	569
212	153	567
213	154	566
214	154	565
215	155	563
216	155	562
217	156	561
218	156	559
219	157	558
220	158	557
221	158	555
222	159	554
223	159	552
224	160	551
225	160	550
226	161	548
227	161	547
228	162	546
229	163	545
230	163	544
231	164	543
232	164	542
233	165	541
234	165	539
235	166	538
236	166	537
237	167	536
238	167	534
239	168	533
240	169	532
241	169	531
242	170	529
243	170	528
244	171	527
245	171	526
246	172	525
247	172	523
248	173	522
249	173	521
250	174	520
251	174	519
252	175	517
253	175	516
254	176	515
255	177	514
256	177	513
257	178	512
258	179	512
259	179	511
260	180	510
261	180	509
262	181	508
263	182	507
264	182	506
265	183	505
266	183	504
267	184	503
268	184	502
269	185	501
270	185	499
271	186	498
272	186	497
273	187	496
274	187	495
275	188	494
276	189	493
277	189	492
278	190	491
279	190	490
280	191	489
281	191	488
282	192	487
283	192	486
284	193	485
285	193	484
286	194	483
287	195	482
288	195	481
289	196	480
290	196	479
291	197	478
292	197	477
293	198	476
294	198	475
295	199	474
296	199	473
297	200	472
298	201	471
299	201	470
300	202	469
301	202	468
302	203	467
303	203	466
304	204	465
305	204	464
306	205	463
307	205	462
308	206	461
309	206	460
310	207	459
311	207	458
312	208	457
313	209	456
314	209	455
315	210	454
316	210	453
317	211	452
318	211	452
319	212	451
320	212	450
321	213	449
322	213	448
323	214	447
324	214	446
325	215	445
326	216	445
327	216	444
328	217	443
329	217	442
330	218	441
331	219	440
332	219	439
333	220	438
334	220	438
335	221	437
336	221	436
337	222	435
338	222	434
339	223	433
340	223	432
341	224	431
342	224	430
343	225	429
344	225	429
345	226	428
346	227	427
347	227	426
348	228	425
349	228	424
